бульвар Яна Райниса;Аэродромная ул.
бульвар Яна Райниса;Бульв. Яна Райниса, 10
бульвар Яна Райниса;Бульв. Яна Райниса, 20
улица Свободы;Ул. Циолковского
улица Свободы;Ул. Циолковского
улица Костякова;Ул. Костякова
улица Дубки;Префектура САО
улица Дубки;Парк Дубки
Тимирязевская улица;Театр Золотое кольцо
бульвар Яна Райниса;Бульв. Яна Райниса, 32
улица Константина Царёва;Мост Победы - Студгородок
улица Константина Царёва;Ул. Константина Царева
улица Константина Царёва;Ул. Константина Царева, 12
улица Константина Царёва;Светлый пр.
Звенигородское шоссе;Метро Ул. 1905 года
улица Константина Царёва;Светлый пр.
улица Константина Царёва;Ул. Константина Царева, 12
улица Константина Царёва;Ул. Константина Царева
улица Константина Царёва;Мост Победы - Студгородок
1-й Новоподмосковный переулок;1-й Новоподмосковный пер.
Михалковская улица;Пр. Черепановых
Коптевская улица;Михалково (выс.)
улица Маршала Федоренко;Ул. Марш. Федоренко
улица Народного Ополчения;Просп. Марш. Жукова
проспект Маршала Жукова;Ул. Демьяна Бедного
улица Куусинена;Ул. Куусинена, 9
Песчаная площадь;Песчаная пл.
Новопесчаная улица;2-я Песчаная ул.
Новопесчаная улица;К/т Ленинград
Новопесчаная улица;Новопесчаная ул., 3
Ленинградский проспект;Метро Сокол
улица Зои и Александра Космодемьянских;3-й Новоподмосковный пер.
улица Зои и Александра Космодемьянских;3-й Новоподмосковный пер.
улица Зои и Александра Космодемьянских;К/т Рассвет - Техникум
улица Клары Цеткин;Новопетровская ул.
Соболевский проезд;Коптево
Соболевский проезд;Коптевская ул.
Соболевский проезд;Коптевский рынок
Соболевский проезд;3-й Михалковский пер.
Соболевский проезд;Соболевский пр.
Михалковская улица;К/т Байкал
улица Прянишникова;Университет Печати
Тимирязевская улица;Тимирязевская академия
Тимирязевская улица;Пасечная ул.
улица Дубки;Красностуденческий пр.
улица Дубки;Парк Дубки
улица Дубки;Префектура САО
улица Костякова;Ул. Костякова
улица Костякова;Дмитровский пр.
улица Куусинена;Международный центр научно-технической информации
Коптевская улица;Михалково (пос.)
Михалковская улица;Пр. Черепановых
Ленинградское шоссе;Гидропроект
Ленинградское шоссе;Театральный зал Лебедь
Ленинградское шоссе;Выборгская ул.
улица Дубки;Красностуденческий пр.
Тимирязевская улица;Пасечная ул.
Тимирязевская улица;Тимирязевская академия
улица Прянишникова;Университет Печати
Михалковская улица;К/т Байкал
Соболевский проезд;Соболевский пр.
Соболевский проезд;3-й Михалковский пер.
Соболевский проезд;Коптевский рынок
Соболевский проезд;Коптевская ул.
Соболевский проезд;Коптево
улица Клары Цеткин;Новопетровская ул.
улица Клары Цеткин;К/т Рассвет - Техникум
улица Маршала Тухачевского;Кадетский корпус
улица Маршала Тухачевского;Детский центр
улица Народного Ополчения;Ин-т Связи
улица Народного Ополчения;Ин-т Связи
улица Маршала Тухачевского;Детский центр
бульвар Генерала Карбышева;Стоматологическая п-ка
бульвар Генерала Карбышева;Универмаг
Волоколамское шоссе;Покровское-Глебово
улица Зои и Александра Космодемьянских;Школа имени Зои и Александра Космодемьянских
улица Зои и Александра Космодемьянских;Школа имени Зои и Александра Космодемьянских
улица Саляма Адиля;Б-ца № 67
Карамышевская набережная;Шлюз № 9
Карамышевская набережная;Карамышевская наб.
Карамышевская набережная;Карамышевская наб., 10
улица Мнёвники;МЖК Атом
Карамышевская набережная;Карамышевская наб., 10
Карамышевская набережная;Карамышевская наб.
Карамышевская набережная;Шлюз № 9
проспект Маршала Жукова;Просп. Марш. Жукова, 24
проспект Маршала Жукова;Живописная ул. - Храм Живоначальной Троицы
проспект Маршала Жукова;Наб. Новикова-Прибоя
Таманская улица;Водная станция Труд
Таманская улица;Серебряный бор
Таманская улица;3-я линия
Таманская улица;Причал
Таманская улица;4-я линия
Таманская улица;Берег Москвы-реки (к/ст, выс.)
Таманская улица;Берег Москвы-реки (пос.)
Таманская улица;4-я линия
Таманская улица;Причал
Таманская улица;3-я линия
Таманская улица;Водная станция Труд
проспект Маршала Жукова;Наб. Новикова-Прибоя
проспект Маршала Жукова;Просп. Марш. Жукова, 24
бульвар Яна Райниса;Бульв. Яна Райниса, 32
Новопесчаная улица;Новопесчаная ул.
Новопесчаная улица;К/т Ленинград
Новопесчаная улица;2-я Песчаная ул.
Песчаная площадь;Песчаная пл.
улица Куусинена;Метро Полежаевская
проспект Маршала Жукова;Ул. Демьяна Бедного
Дмитровское шоссе;Метро Петровско-Разумовская
Анадырский проезд;Анадырский пр., 57 - Колледж современных технологий
улица Малыгина;Ул. Малыгина, 1
Изумрудная улица;Изумрудная ул.
Минусинская улица;Минусинская ул.
улица Коминтерна;Янтарный пр.
Ленинградское шоссе;Ленинградское ш., 50
